gene-cCRE pairs	PCC	p-value	FDR
Tnrc18|cCREs196251	0.51443057742124	0.00341892527927712	0.0283975514592291
Tnrc6a|cCREs222403	0.476640251196129	0.00606928824174291	0.0394645611299649
Tnrc6a|cCREs222416	0.473344564463072	0.00637012250862434	0.0405867805549494
Tnrc6a|cCREs222418	0.483879404697097	0.00545229967528504	0.037033734756264
Tnrc6a|cCREs222433	0.602437355622753	0.000782457449007179	0.0126105973186304
Tnrc6a|cCREs222434	0.493929441150741	0.00468825988805066	0.0338820215155703
Tnrc6a|cCREs222464	0.61262444068334	0.000651423342518775	0.0113550049721173
Tnrc6c|cCREs48235	0.537455443696374	0.00236850973830882	0.0231024218566859
Tnrc6c|cCREs48243	0.480783904935443	0.00570895882627187	0.0379553262512297
Tnrc6c|cCREs48276	0.628323753507723	0.000488608713379413	0.00975943277052734
Tnrc6c|cCREs48278	0.493588213399149	0.00471254701892132	0.0340156818488133
Tob1|cCREs45061	0.579402713577821	0.00117286061206845	0.015641396974118
Tob2|cCREs93324	0.629145284158659	0.000481227532689421	0.00972225792521242
Tom1|cCREs231751	0.482445790494895	0.00556986280417249	0.0374342795808966
Tom1l1|cCREs44697	0.790197904150378	1.74470512138702e-05	0.00289723065092085
Tom1l1|cCREs44704	0.589696036837535	0.000980421258227948	0.0141613129047842
Tom1l1|cCREs44714	0.543573581112389	0.00214362855545391	0.0217624599636948
Tom1l1|cCREs44720	0.674318044731668	0.000202945066950622	0.00640429805911226
Tom1l1|cCREs44757	0.731284719103445	6.34208877471343e-05	0.00410201381143328
Tom1l1|cCREs44783	0.465395429602989	0.00715065140905291	0.0435240213773875
Tom1l1|cCREs44784	0.568962688236431	0.00140283292910948	0.0172101028635945
Tom1l1|cCREs44794	0.716189655168194	8.70171024824895e-05	0.00452222211660553
Tom1l2|cCREs40933	0.648895408836571	0.000332034394924019	0.00807191803409813
Tom1l2|cCREs40939	0.4683704603628	0.00684916645521627	0.0423424138875465
Tonsl|cCREs92476	0.549809232013653	0.00193452026449248	0.0205815749567608
Tonsl|cCREs92491	0.593050395214556	0.000924267911155519	0.0138185242920736
Tonsl|cCREs92504	0.584951952822423	0.00106519594583276	0.0148696964958287
Top1mt|cCREs92340	0.504525368558046	0.00398755042531473	0.0309565264789467
